Principio attivo;Confezione di riferimento;ATC;AIC;Farmaco;Confezione;Ditta;Prezzo riferimento SSN;Prezzo Pubblico 16 febbraio 2026;Differenza;Nota;Codice gruppo equivalenza
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;44155024;ACARBOSIO DOC GENERICI;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;39716182;ACARBOSIO TECNIGEN;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;38835144;ACARPHAGE;"""100 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;5,63 €;5,63 €;0,00 €;;H1A
Acarbosio;40 UNITA' 100 MG - USO ORALE;A10BF01;26851016;GLUCOBAY;"""100 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1A
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;47612027;ACARBOSIO AUROBINDO;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";AUROBINDO PHARMA ITALIA S.R.L.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;44155012;ACARBOSIO DOC GENERICI;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PE/PVDC-AL";DOC GENERICI S.R.L.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;39716170;ACARBOSIO TECNIGEN;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER PVC/PCTFE/PVC/AL";TECNIMEDE SOCIEDADE TECNICO-MEDICINAL S.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;38835043;ACARPHAGE;"""50 MG COMPRESSE"" 40 COMPRESSE IN BLISTER AL/AL";BRUNO FARMACEUTICI S.P.A.;5,63 €;5,63 €;0,00 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;45430016;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";GMM FARMA S.R.L.;5,63 €;7,49 €;1,86 €;;H1B
Acarbosio;40 UNITA' 50 MG - USO ORALE;A10BF01;26851028;GLUCOBAY;"""50 MG COMPRESSE"" 40 COMPRESSE";BAYER S.P.A.;5,63 €;8,04 €;2,41 €;;H1B
Aceclofenac;30 UNITA' 100 MG - USO ORALE;M01AB16;32773032;AIRTAL;"""100 MG POLVERE PER SOSPENSIONE ORALE"" 30 BUSTINE";ALMIRALL S.A.;7,69 €;7,73 €;0,04 €;;B5A
Aceclofenac;30 UNITA' 100 MG - USO ORALE;M01AB16;31220027;GLADIO;"""100 MG POLVERE PER SOSPENSIONE ORALE""30 BUSTINE";ABIOGEN PHARMA S.P.A.;7,69 €;7,91 €;0,22 €;;B5A
Aceclofenac;30 UNITA' 100 MG - USO ORALE;M01AB16;31842026;KAFENAC;"""100 MG POLVERE PER SOSPENSIONE ORALE"" 30 BUSTINE";ALMIRALL S.A.;7,69 €;7,69 €;0,00 €;;B5A
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;42403042;ACECLOFENAC ACCORD;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL-AL";ACCORD HEALTHCARE SLU;5,64 €;5,64 €;0,00 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;43259035;ACECLOFENAC EG;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE IN BLISTER AL/AL";EG S.P.A.;5,64 €;5,64 €;0,00 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;32773020;AIRTAL;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ALMIRALL S.A.;5,64 €;10,26 €;4,62 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31220015;GLADIO;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ABIOGEN PHARMA S.P.A.;5,64 €;10,57 €;4,93 €;;B5B
Aceclofenac;40 UNITA' 100 MG - USO ORALE;M01AB16;31842014;KAFENAC;"""100 MG COMPRESSE RIVESTITE CON FILM"" 40 COMPRESSE";ALMIRALL S.A.;5,64 €;10,26 €;4,62 €;;B5B
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28614129;ACICLIN;"""400 MG/5 ML SOSPENSIONE ORALE""1 FLACONE 100 ML";FIDIA FARMACEUTICI S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33482023;ACICLOVIR ABC;"""400 MG/5 ML SOSPENSIONE ORALE""1 FLACONE 100 ML";ABC FARMACEUTICI S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33868023;ACICLOVIR ALMUS;"""400 MG/5 ML SOSPENSIONE ORALE""1 FLACONE 100 ML";ALMUS S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;36035032;ACICLOVIR AUROBINDO;"""400 MG/5 ML SOSPENSIONE ORALE"" FLACONE 100 ML";AUROBINDO PHARMA ITALIA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33551060;ACICLOVIR DOC GENERICI;"""400 MG/5 ML SOSPENSIONE ORALE"" 1 FLACONE 100 ML";DOC GENERICI S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;28467049;ACICLOVIR DOROM;"""8% SOSPENSIONE ORALE""1 FLACONE 100 ML";TEVA ITALIA S.R.L.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;32307035;ACICLOVIR EG;"""8% SOSPENSIONE ORALE"" 1 FLACONE 100 ML";EG S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;34738056;ACICLOVIR MYLAN GENERICS;"""400 MG/5 ML SOSPENSIONE PER USO ORALE"" 1 FLACONE 100 ML";MYLAN S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;100 ML 8% - USO ORALE;J05AB01;33731035;ACICLOVIR SANDOZ;"""8% SOSPENSIONE ORALE"" FLACONE 100 ML";SANDOZ S.P.A.;13,90 €;13,90 €;0,00 €;;26A
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;46032013;ACICLOVIR AUROBINDO PHARMA;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;32307011;ACICLOVIR EG;"""200 MG COMPRESSE"" BLISTER 25 COMPRESSE";EG S.P.A.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;50312014;ACICLOVIR PENSA PHARMA;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER AL/PVC";TOWA PHARMACEUTICAL S.P.A.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;46277012;ACICLOVIR ZENTIVA ITALIA;"""200 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;11,29 €;11,29 €;0,00 €;;26B
Aciclovir;25 UNITA' 200 MG - USO ORALE;J05AB01;25298050;ZOVIRAX;"""200 MG COMPRESSE"" 25 COMPRESSE";GLAXOSMITHKLINE S.P.A.;11,29 €;18,08 €;6,79 €;;26B
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28614055;ACICLIN;"""400 MG COMPRESSE"" 25 COMPRESSE";FIDIA FARMACEUTICI S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;46032049;ACICLOVIR AUROBINDO PHARMA;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33551021;ACICLOVIR DOC GENERICI;"""400 MG COMPRESSE"" 25 COMPRESSE";DOC GENERICI S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28467037;ACICLOVIR DOROM;"""400 MG COMPRESSE"" 25 COMPRESSE";TEVA ITALIA S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;32307023;ACICLOVIR EG;"""400 MG COMPRESSE"" 25 COMPRESSE";EG S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;34738031;ACICLOVIR MYLAN GENERICS;"""400 MG COMPRESSE"" 25 COMPRESSE";MYLAN S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;50312026;ACICLOVIR PENSA PHARMA;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER AL/PVC";TOWA PHARMACEUTICAL S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;33731011;ACICLOVIR SANDOZ;"""400 MG COMPRESSE"" 25 COMPRESSE";SANDOZ S.P.A.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;46277036;ACICLOVIR ZENTIVA ITALIA;"""400 MG COMPRESSE"" 25 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;28920039;CIVRAL;"""400 MG COMPRESSE"" 25 COMPRESSE";PHARMABER S.R.L.;9,01 €;9,01 €;0,00 €;;26C
Aciclovir;25 UNITA' 400 MG - USO ORALE;J05AB01;25298074;ZOVIRAX;"""400 MG COMPRESSE"" 25 COMPRESSE";GLAXOSMITHKLINE S.P.A.;9,01 €;15,18 €;6,17 €;;26C
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28614081;ACICLIN;"""800 MG COMPRESSE"" 35 COMPRESSE";FIDIA FARMACEUTICI S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33482047;ACICLOVIR ABC;"""800 MG COMPRESSE"" 35 COMPRESSE";ABC FARMACEUTICI S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33868011;ACICLOVIR ALMUS;"""800 MG COMPRESSE"" 35 COMPRESSE";ALMUS S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36110017;ACICLOVIR ALTER;"""800 MG COMPRESSE"" 35 COMPRESSE";LABORATORI ALTER S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;36035018;ACICLOVIR AUROBINDO;"""800 MG COMPRESSE"" 35 COMPRESSE";AUROBINDO PHARMA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;46032052;ACICLOVIR AUROBINDO PHARMA;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33551072;ACICLOVIR DOC GENERICI;"""800 MG COMPRESSE"" 35 COMPRESSE";DOC GENERICI S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28467064;ACICLOVIR DOROM;"""800 MG COMPRESSE"" 35 COMPRESSE";TEVA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;32307086;ACICLOVIR EG;"""800 MG COMPRESSE"" 35 COMPRESSE";EG S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34738043;ACICLOVIR MYLAN GENERICS;"""800 MG COMPRESSE"" 35 COMPRESSE";MYLAN S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;34583031;ACICLOVIR PENSA;"""800 MG COMPRESSE"" 35 COMPRESSE";TOWA PHARMACEUTICAL S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;50312038;ACICLOVIR PENSA PHARMA;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER AL/PVC";TOWA PHARMACEUTICAL S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33731050;ACICLOVIR SANDOZ;"""800 MG COMPRESSE"" 35 COMPRESSE";SANDOZ S.P.A.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;46277063;ACICLOVIR ZENTIVA ITALIA;"""800 MG COMPRESSE"" 35 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;33471018;AMODIVYR;"""800 MG COMPRESSE"" 35 COMPRESSE";DYMALIFE PHARMACEUTICAL S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;28528077;CITIVIR;"""800 MG COMPRESSE"" 35 COMPRESSE";LABORATORIO FARMACEUTICO C.T. S.R.L.;25,04 €;31,59 €;6,55 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;35005014;TUCLOR;"""800 MG COMPRESSE"" 35 COMPRESSE";LANOVA FARMACEUTICI S.R.L.;25,04 €;25,04 €;0,00 €;;26E
Aciclovir;35 UNITA' 800 MG - USO ORALE;J05AB01;25298124;ZOVIRAX;"""800 MG COMPRESSE"" 35 COMPRESSE";GLAXOSMITHKLINE S.P.A.;25,04 €;52,01 €;26,97 €;;26E
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;48150015;ACIDO ACETILSALICILICO AUROBINDO;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";AUROBINDO PHARMA ITALIA S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42179010;ACIDO ACETILSALICILICO DOC GENERICI;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE GASTRORESISTENTI IN BLISTER PVC/AL";DOC GENERICI S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42180048;ACIDO ACETILSALICILICO EG;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";EG S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;44822029;ACIDO ACETILSALICILICO KRKA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";KRKA D.D.NOVO MESTO;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;47065014;ACIDO ACETILSALICILICO MYLAN;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC-AL";MYLAN S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;50726013;ACIDO ACETILSALICILICO PENSA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";TOWA PHARMACEUTICAL S.P.A.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;48958019;ACIDO ACETILSALICILICO TECNIGEN;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";TECNIGEN S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;42207011;ACIDO ACETILSALICILICO TEVA ITALIA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";TEVA ITALIA S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;49648013;ACIDO ACETILSALICILICO ZENTIVA ITALIA;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE IN BLISTER PVC/AL";ZENTIVA ITALIA S.R.L.;1,41 €;1,41 €;0,00 €;;H4B
Acido acetilsalicilico;30 UNITA' 100 MG - USO ORALE;B01AC06;24840074;CARDIOASPIRIN;"""100 MG COMPRESSE GASTRORESISTENTI"" 30 COMPRESSE";BAYER S.P.A.;1,41 €;2,58 €;1,17 €;;H4B
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;41538048;ACIDO ALENDRONICO ALTER;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE";LABORATORI ALTER S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;41256241;ACIDO ALENDRONICO AUROBINDO;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PVC/ACLAR/AL";AUROBINDO PHARMA ITALIA S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37520020;ALENDRONATO DOC GENERICI;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER OPA/AL/PVC-AL";DOC GENERICI S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37194103;ALENDRONATO EG;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";EG S.P.A.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38649024;ALENDRONATO PENSA PHARMA;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER OPA/ALU/PVC-AL";GENETIC S.P.A.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38408047;ALENDRONATO SANDOZ GMBH;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER OPA/AL/PVC/AL";SANDOZ GMBH;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38317044;ALENDRONATO TEVA;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER AL/AL";TEVA B.V.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37444027;ASTON;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC-PVDC/AL";S.F. GROUP S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38031163;DRALENOS;"""70 MG COMPRESSE"" 12 COMPRESSE IN BLISTER PVC/AL";ISTITUTO BIOCHIMICO NAZIONALE SAVIO S.R.L.;25,20 €;28,20 €;3,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;38296024;LOSS;"""70 MG COMPRESSE RIVESTITE CON FILM"" 12 COMPRESSE IN BLISTER PVC/PVDC/AL";SO.SE.PHARM S.R.L.;25,20 €;25,20 €;0,00 €;;CQD
Acido alendronico;12 UNITA' 70 MG - USO ORALE;M05BA04;37519028;PORODRON;"""70 MG COMPRESSE"" 12 COMPRESSE";DYMALIFE PHARMACEUTICAL S.R.L.;25,20 €;28,07 €;2,87 €;;CQD
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;41538024;ACIDO ALENDRONICO ALTER;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE";LABORATORI ALTER S.R.L.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;41256227;ACIDO ALENDRONICO AUROBINDO;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/ACLAR/AL";AUROBINDO PHARMA ITALIA S.R.L.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37515018;ACIDO ALENDRONICO FG;"""70 MG COMPRESSE"" 4 COMPRESSE";FG S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;43119015;ACIDO ALENDRONICO TECNIGEN;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER PVC/PVDC/AL";TECNIGEN S.R.L.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37514015;ACIDO ALENDRONICO ZENTIVA;"""70 MG COMPRESSE"" 4 COMPRESSE";ZENTIVA ITALIA S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29053079;ADRONAT;"""70 MG COMPRESSE"" 4 COMPRESSE";NEOPHARMED GENTILI S.P.A.;11,94 €;16,48 €;4,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37499011;ALENDRONATO ALMUS;"""70 MG COMPRESSE"" 4 COMPRESSE";ALMUS S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37520018;ALENDRONATO DOC GENERICI;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PA/AL/PVC/AL";DOC GENERICI S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37194089;ALENDRONATO EG;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";EG S.P.A.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37198013;ALENDRONATO MYLAN GENERICS;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER PVDC/AL";MYLAN S.P.A.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38649012;ALENDRONATO PENSA PHARMA;"""70 MG COMPRESSE"" 4COMPRESSE";GENETIC S.P.A.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37085089;ALENDRONATO PHARMACARE;"""70 MG COMPRESSE"" 4 COMPRESSE";PHARMACARE S.R.L.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38408023;ALENDRONATO SANDOZ GMBH;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";SANDOZ GMBH;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38317020;ALENDRONATO TEVA;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";TEVA B.V.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29051075;ALENDROS;"""70 MG COMPRESSE"" 4 COMPRESSE";ABIOGEN PHARMA S.P.A.;11,94 €;13,14 €;1,20 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37521010;ALENIC;"""70 MG COMPRESSE"" 4 COMPRESSE""";EPIFARMA S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37444015;ASTON;"""70 MG COMPRESSE"" 4 COMPRESSE";S.F. GROUP S.R.L.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37644010;DORYX;"""70 MG COMPRESSE"" 4 COMPRESSE";EBERLIFE FARMACEUTICI S.P.A.;11,94 €;11,94 €;0,00 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;50142013;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";FARMA 1000 S.R.L.;11,94 €;18,67 €;6,73 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;51112011;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";BB FARMA S.R.L.;11,94 €;18,67 €;6,73 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;51112023;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";BB FARMA S.R.L.;11,94 €;18,67 €;6,73 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;52020017;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";FARMED S.R.L.;11,94 €;18,67 €;6,73 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;47397017;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE IN BLISTER AL/AL";GMM FARMA S.R.L.;11,94 €;18,67 €;6,73 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;29052077;FOSAMAX;"""70 MG COMPRESSE"" 4 COMPRESSE";ORGANON ITALIA S.R.L.;11,94 €;20,07 €;8,13 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;34172054;GENALEN;"""70 MG COMPRESSE"" 4 COMPRESSE";NEOPHARMED GENTILI S.P.A.;11,94 €;17,98 €;6,04 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;37500016;GLAMOR;"""70 MG COMPRESSE RIVESTITE CON FILM"" 4 COMPRESSE IN BLISTER OPA/AL/PVC/AL";A.G.I.P.S. FARMACEUTICI S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
Acido alendronico;4 UNITA' 70 MG - USO ORALE;M05BA04;38296012;LOSS;"""70 MG COMPRESSE"" 4 COMPRESSE";SO.SE.PHARM S.R.L.;11,94 €;13,48 €;1,54 €;;CQA
